	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
19	A8BVW7	Dynein heavy chain (A8BVW7_GIAIC)	GL50803_103059		273.93503967077066	70.03	1.41	9.655048295281949					Single Protein		A8BVW7	3	23	23	3	23	3	4	30	100.0	Confident
20	A8B4T4	W2 domain-containing protein (A8B4T4_GIAIC)	GL50803_15538		38.23130335129803	79.82	8.01	62.59000680610395	Oxidation of M(M178, M199)	Oxidation of M(2)			Single Protein		A8B4T4	2	7	7	2	7	2	3	9	100.0	Doubtful
21	A8BEW2	Uncharacterized protein (A8BEW2_GIAIC)	GL50803_9183		213.6111383603531	80.67	3.31	14.16593176238776					Single Protein		A8BEW2	6	25	25	6	25	6	8	33	100.0	Confident
22	A0A644F3Y1	Amylomaltase (A0A644F3Y1_GIAIC)	GL50803_008978		136.01290527135993	59.43	4.17	7.960760980395918					Related Proteins	A8B231	A0A644F3Y1, A8B231	4	16	0	0	16	4	4	25	100.0	Confident
23	A8BEY6	AAA domain-containing protein (A8BEY6_GIAIC)	GL50803_86683		56.383285462840284	68.24	2.16	19.759093483519464					Single Protein		A8BEY6	1	8	8	1	8	1	1	8	100.0	Doubtful
24	A8BEY0	Serine/Threonine-protein kinase pkwA, putative (A8BEY0_GIAIC)	GL50803_9173		40.609120138108906	60.0	3.2	33.61407536837773					Single Protein		A8BEY0	1	5	5	1	5	1	2	5	100.0	Doubtful
25	A8B588	ATP/GTP binding protein, putative (A8B588_GIAIC)	GL50803_10370		52.63664290375261	88.3	7.06	46.562543694607136					Single Protein		A8B588	2	22	22	2	22	2	3	27	100.0	Confident
26	A8B4W8	ANK_REP_REGION domain-containing protein (A8B4W8_GIAIC)	GL50803_3746		118.88001659321101	65.58	0.82	8.626925273479358					Single Protein		A8B4W8	1	6	6	1	6	1	1	6	86.27450980392157	Doubtful
27	A8B4Z7	Kinesin motor domain-containing protein (A8B4Z7_GIAIC)	GL50803_102101		114.54416678648164	64.13	10.53	21.366080750975964	Oxidation of M(M105, M106, M413)	Oxidation of M(3)			Single Protein		A8B4Z7	9	18	8	1	8	1	9	19	100.0	Confident
28	A8B4Z2	Kinesin motor domain-containing protein (A8B4Z2_GIAIC)	GL50803_6262		120.95272820729825	67.57	4.29	18.401598511369276					Single Protein		A8B4Z2	4	11	10	3	10	3	4	12	100.0	Confident
29	CATG_HUMAN				28.819069590686258	71.37	3.53	33.086795754756125					Single Protein		CATG_HUMAN	1	4	4	1	4	1	1	4	100.0	Doubtful
30	A8BEC3	Dephospho-CoA kinase (A8BEC3_GIAIC)	GL50803_16483		31.992917424096724	67.94	5.23	34.43727721413393					Single Protein		A8BEC3	1	2	2	1	2	1	1	3	100.0	Doubtful
31	A8B4D0	Kinase, NEK (A8B4D0_GIAIC)	GL50803_94927		115.03971515501016	80.47	1.13	16.823794451570908					Single Protein		A8B4D0	1	7	7	1	7	1	2	10	100.0	Doubtful
32	A8BEI6	Tubulin beta chain (A8BEI6_GIAIC)	GL50803_101291		50.01706297730935	60.18	17.67	240.10817499316548	Oxidation of M(M73, M316, M321, M330, M388)	Oxidation of M(5)			Single Protein		A8BEI6	14	21	21	14	21	14	35	49	100.0	Confident
33	A0A644FAT1	Delta giardin (A0A644FAT1_GIAIC)	GL50803_0086676		30.854595899193004	100.0	48.13	100.3182663162014	Oxidation of M(M152, M238, M249)	Oxidation of M(3)			Related Proteins	A8BEZ6	A0A644FAT1, A8BEZ6	11	16	16	11	16	11	13	22	100.0	Confident
34	A8B4I3	CoA_binding domain-containing protein (A8B4I3_GIAIC)	GL50803_16667		99.40873037038281	56.46	1.33	11.849905782953387					Single Protein		A8B4I3	1	12	8	1	8	1	1	12	88.46153846153845	Doubtful
35	A8BVL0	Protein kinase domain-containing protein (A8BVL0_GIAIC)	GL50803_92498		102.22501038636058	77.95	2.0	13.668907116181144					Single Protein		A8BVL0	2	32	31	1	32	2	2	38	100.0	Confident
36	A0A644EZ44	Uncharacterized protein (A0A644EZ44_GIAIC)	GL50803_0013651		76.32174804166033	83.41	1.48	13.328803977034458					Related Proteins	A8BKT1	A0A644EZ44, A8BKT1	1	10	10	1	10	1	1	15	100.0	Doubtful
37	A8B4L6	Kinase, NEK (A8B4L6_GIAIC)	GL50803_17578		112.60929247099952	67.28	1.46	10.165220382485316					Single Protein		A8B4L6	1	5	5	1	5	1	1	5	100.0	Doubtful
38	A8BEM5	Dynein heavy chain (A8BEM5_GIAIC)	GL50803_40496		553.0755313551083	70.33	0.41	2.9377203751611463					Single Protein		A8BEM5	2	44	44	2	44	2	2	53	100.0	Confident
39	A8BEN7	ANK_REP_REGION domain-containing protein (A8BEN7_GIAIC)	GL50803_14100		44.548440762776245	57.07	10.67	85.53967596834205					Single Protein		A8BEN7	4	6	6	4	6	4	6	9	100.0	Confident
40	A8BW27	ANK_REP_REGION domain-containing protein (A8BW27_GIAIC)	GL50803_13982		61.3311870993018	46.38	1.81	23.115432650583045					Single Protein		A8BW27	1	4	4	1	4	1	1	4	100.0	Doubtful
41	A8BW25	Uncharacterized protein (A8BW25_GIAIC)	GL50803_17627		143.74035056949074	61.33	1.61	12.204145975114965					Single Protein		A8BW25	2	7	7	2	7	2	2	7	100.0	Confident
42	A8BFS1	Short chain dehydrogenase (A8BFS1_GIAIC)	GL50803_8468		32.66785472776563	53.42	3.77	32.95755045883911					Single Protein		A8BFS1	1	3	3	1	3	1	1	3	88.23529411764706	Doubtful
43	A8BWU7	Uncharacterized protein (A8BWU7_GIAIC)	GL50803_24279		89.4762846453856	76.67	1.13	12.334989645413467					Single Protein		A8BWU7	1	5	4	1	5	1	1	5	100.0	Doubtful
44	A8B5S2	Phosphatidylinositol-4-phosphate 5-kinase, putative (A8B5S2_GIAIC)	GL50803_14628		61.667908765343476	83.8	2.29	16.07072936659583	Oxidation of M(M23)	Oxidation of M(1)			Single Protein		A8B5S2	1	7	7	1	7	1	2	8	100.0	Doubtful
45	A8BG76	Proteasome endopeptidase complex (A8BG76_GIAIC)	GL50803_7962		28.21736467478629	82.35	11.76	49.63019363213419	Oxidation of M(M164)	Oxidation of M(1)			Single Protein		A8BG76	2	4	4	2	4	2	3	4	100.0	Doubtful
46	A8BFV5	WD_REPEATS_REGION domain-containing protein (A8BFV5_GIAIC)	GL50803_15042		46.75837518583135	63.97	2.08	23.901226395078787					Single Protein		A8BFV5	1	3	3	1	3	1	2	3	100.0	Doubtful
47	A8BG80	LRRcap domain-containing protein (A8BG80_GIAIC)	GL50803_16891		29.083122998843905	66.67	6.51	55.507453404360604					Single Protein		A8BG80	2	3	3	2	3	2	2	3	100.0	Confident
48	A8B666	Uncharacterized protein (A8B666_GIAIC)	GL50803_14704		110.06845188476547	41.51	1.81	15.480977830206996					Single Protein		A8B666	1	5	5	1	5	1	1	5	100.0	Doubtful
49	A0A644F9H9	HATPase_c domain-containing protein (A0A644F9H9_GIAIC)	GL50803_0098054		80.72098849652629	83.66	3.84	35.09987693172256	Oxidation of M(M463)	Oxidation of M(1)			Unrelated Proteins	A8BQS7	A0A644F9H9, A8BQS7	3	10	0	0	0	0	7	19	100.0	Confident
50	A8BFX3	Kinase, NEK (A8BFX3_GIAIC)	GL50803_16824		90.51811200436039	77.76	11.54	56.97889786149485	Oxidation of M(M270, M271, M615, M651)	Oxidation of M(4)			Single Protein		A8BFX3	9	18	15	7	16	7	11	25	100.0	Confident
51	A8B676	Uncharacterized protein (A8B676_GIAIC)	GL50803_13323		92.21722763918523	67.22	1.55	12.706525478106645					Single Protein		A8B676	1	7	7	1	7	1	1	7	100.0	Doubtful
52	A8B5V6	CFAP91 domain-containing protein (A8B5V6_GIAIC)	GL50803_89828		83.8545088420098	78.88	1.6	12.706525478106645	Oxidation of M(M395)	Oxidation of M(1)			Single Protein		A8B5V6	1	8	8	1	8	1	1	9	100.0	Doubtful
53	A8B686	Uncharacterized protein (A8B686_GIAIC)	GL50803_16353		83.60054652354407	57.62	5.7	33.79011950924724					Single Protein		A8B686	3	7	7	3	7	3	4	10	100.0	Confident
54	A0A644FAR5	Enkurin domain-containing protein (A0A644FAR5_GIAIC)	GL50803_0016996		39.56522426421937	80.17	6.98	73.49418917650533					Related Proteins	A8BBN8	A0A644FAR5, A8BBN8	2	7	7	2	7	2	3	8	100.0	Confident
55	A8BBD4	Nucleotide-binding protein 1 (A8BBD4_GIAIC)	GL50803_15324		40.00776188002544	58.33	4.03	76.01020646362893					Related Proteins	A0A644F0Z2	A0A644F0Z2, A8BBD4	2	6	6	2	6	2	4	8	100.0	Doubtful
56	P00761	Trypsin (TRYP_PIG)			24.393805244132462	68.4	34.63	3728.2346860690714	Oxidation of M(M94)	Oxidation of M(1)			Related Proteins	TRYP_PIG	P00761, TRYP_PIG	10	11	11	10	11	10	183	229	100.0	Confident
57	A8BXB8	ANK_REP_REGION domain-containing protein (A8BXB8_GIAIC)	GL50803_7414		40.59965136219539	78.65	7.3	45.606123878177364	Oxidation of M(M14)	Oxidation of M(1)			Single Protein		A8BXB8	2	6	6	2	6	2	3	9	100.0	Confident
58	A8BXD1	Protein MAK16 homolog (A8BXD1_GIAIC)	GL50803_5661		27.892522924590555	89.83	3.81	35.75056320958819					Single Protein		A8BXD1	1	14	14	1	14	1	1	22	100.0	Doubtful
59	A8BXE6	ANK_REP_REGION domain-containing protein (A8BXE6_GIAIC)	GL50803_32778		64.16509915888274	91.33	13.78	44.378991171785685	Oxidation of M(M40, M182, M192, M223)	Oxidation of M(4)			Single Protein		A8BXE6	7	17	16	7	16	7	9	19	100.0	Confident
60	A8BXD7	Protein kinase domain-containing protein (A8BXD7_GIAIC)	GL50803_101850		46.92985153296752	67.33	2.97	41.76798473991491	Oxidation of M(M339)	Oxidation of M(1)			Single Protein		A8BXD7	1	13	13	1	13	1	2	15	100.0	Doubtful
61	A0A644EYZ9	Outer-arm dynein gamma (Fragment) (A0A644EYZ9_GIAIC)	GL50803_0016804B		302.06515248318806	68.2	0.67	5.36031316230166					Unrelated Proteins	A8BL65	A0A644EYZ9, A8BL65	2	17	16	2	17	2	2	19	100.0	Confident
62	A8BFD8	Uncharacterized protein (A8BFD8_GIAIC)	GL50803_15406		114.63964468396773	75.44	1.07	9.111374640888567					Single Protein		A8BFD8	1	12	12	1	12	1	1	13	82.35294117647058	Doubtful
63	A8BFD3	Ornithine decarboxylase (A8BFD3_GIAIC)	GL50803_94582		49.52596811278109	68.08	4.69	31.095084462393654					Single Protein		A8BFD3	2	7	7	2	7	2	2	7	100.0	Doubtful
64	A8BFE9	Uncharacterized protein (A8BFE9_GIAIC)	GL50803_11354		30.078939608933098	50.89	10.68	63.27849688097109	Oxidation of M(M77)	Oxidation of M(1)			Single Protein		A8BFE9	2	5	5	2	5	2	2	5	100.0	Confident
65	A8BFE3	40S ribosomal protein S4 (A8BFE3_GIAIC)	GL50803_11359		30.392180498053268	100.0	47.76	204.04692768260279	Oxidation of M(M136, M202, M207, M210)	Oxidation of M(4)			Single Protein		A8BFE3	20	29	29	20	29	20	30	40	100.0	Confident
66	A0A644F6P9	IFT complex B (A0A644F6P9_GIAIC)	GL50803_00d40995		44.510104699245275	47.73	2.15	18.91733837996146	Oxidation of M(M212)	Oxidation of M(1)			Related Proteins	A0A644F860, A8BRE5	A0A644F6P9, A0A644F860, A8BRE5	1	2	0	0	2	1	1	2	100.0	Doubtful
67	A8BFF8	Glutamate dehydrogenase (A8BFF8_GIAIC)	GL50803_21942		49.702015491063094	88.2	36.53	74.72335167880071	Oxidation of M(M51, M121, M280, M385, M429)	Oxidation of M(5)			Single Protein		A8BFF8	14	25	25	14	25	14	18	33	100.0	Confident
68	A8BFG8	J domain-containing protein (A8BFG8_GIAIC)	GL50803_17483		37.22904256065387	89.97	23.4	74.58501509243588	Oxidation of M(M76, M290)	Oxidation of M(2)			Single Protein		A8BFG8	6	9	9	6	9	6	7	12	100.0	Confident
69	A8BFG4	T-complex protein 1 subunit delta (A8BFG4_GIAIC)	GL50803_17482		56.28863649834358	78.53	9.86	53.52776370818314	Oxidation of M(M506)	Oxidation of M(1)			Single Protein		A8BFG4	4	9	9	4	9	4	5	10	100.0	Confident
70	A8BFH7	UN_NPL4 domain-containing protein (A8BFH7_GIAIC)	GL50803_94658		59.132854063398334	78.37	3.23	18.144371865511424					Single Protein		A8BFH7	1	9	9	1	9	1	1	10	100.0	Doubtful
71	A0A644F4P9	Bip (A0A644F4P9_GIAIC)	GL50803_0017121		72.61778531307714	73.56	23.26	111.70029145747415	Oxidation of M(M464)	Oxidation of M(1)			Related Proteins	A8B431	A0A644F4P9, A8B431	14	32	32	14	32	14	20	55	100.0	Confident
72	A8B5J7	IPPc domain-containing protein (A8B5J7_GIAIC)	GL50803_9077		124.01098432097068	58.08	0.81	11.325010627466861	Oxidation of M(M94)	Oxidation of M(1)			Single Protein		A8B5J7	1	14	14	1	14	1	1	19	100.0	Doubtful
73	A8BWM5	6-phosphogluconolactonase/Glucose-6-phosphate 1-dehydrogenase (A8BWM5_GIAIC)	GL50803_8682		83.02269059153738	72.78	4.18	28.259421615296127					Single Protein		A8BWM5	4	11	11	4	11	4	4	12	100.0	Confident
74	A8B5K6	ANK_REP_REGION domain-containing protein (A8B5K6_GIAIC)	GL50803_14859		102.64555916182267	71.89	5.95	37.062340981102786					Single Protein		A8B5K6	5	16	16	5	16	5	9	24	100.0	Confident
75	A8BX05	HZGJ (A8BX05_GIAIC)	GL50803_3531		41.11252759516956	64.1	4.79	36.89708272942921	Oxidation of M(M40)	Oxidation of M(1)			Single Protein		A8BX05	2	2	2	2	2	2	2	2	100.0	Confident
76	A8B4S7	DUF384 domain-containing protein (A8B4S7_GIAIC)	GL50803_40283		29.40514769981912	46.69	5.51	48.48926964059087					Related Proteins	A0A644F581, A8BSV8	A0A644F581, A8B4S7, A8BSV8	1	1	1	1	1	1	1	1	100.0	Doubtful
77	A8BWP7	Alanine--tRNA ligase (A8BWP7_GIAIC)	GL50803_96460		108.37042415713395	63.98	4.95	30.418851407950985	Oxidation of M(M557)	Oxidation of M(1)			Single Protein		A8BWP7	5	12	12	5	12	5	6	13	100.0	Confident
78	A8BWP4	Uncharacterized protein (A8BWP4_GIAIC)	GL50803_8692		37.17319694655018	77.34	19.64	65.84872115844591	Oxidation of M(M186)	Oxidation of M(1)			Single Protein		A8BWP4	4	8	8	4	8	4	6	19	100.0	Confident
79	A8B5M1	Oxidored_FMN domain-containing protein (A8B5M1_GIAIC)	GL50803_9719		46.973788210416345	70.63	12.59	46.134803791900765					Single Protein		A8B5M1	4	7	7	4	7	4	4	8	100.0	Confident
80	A8BX22	Stress-induced-phosphoprotein 1 (A8BX22_GIAIC)	GL50803_27310		65.31999162773867	91.65	1.36	14.373309910498827					Single Protein		A8BX22	1	5	5	1	5	1	2	6	100.0	Doubtful
81	A8BFR0	Elongation factor 1-gamma (A8BFR0_GIAIC)	GL50803_12102		45.187643487827664	73.38	9.95	81.49072674099303					Single Protein		A8BFR0	4	11	11	4	11	4	6	18	100.0	Confident
82	A8B614	Protein kinase domain-containing protein (A8B614_GIAIC)	GL50803_137719		52.224058631308175	69.1	7.94	49.05309835734192	Oxidation of M(M58)	Oxidation of M(1)			Single Protein		A8B614	3	4	3	2	3	2	4	8	100.0	Confident
83	A8BFQ9	Uncharacterized protein (A8BFQ9_GIAIC)	GL50803_17499		33.51794962184624	75.93	4.41	28.600450567670546					Single Protein		A8BFQ9	1	4	4	1	4	1	2	4	100.0	Doubtful
84	A8BH61	Ribosomal_L19e domain-containing protein (A8BH61_GIAIC)	GL50803_16431		23.122787141833243	100.0	36.73	196.03283398283776	Oxidation of M(M145)	Oxidation of M(1)			Single Protein		A8BH61	10	32	32	10	32	10	13	42	100.0	Confident
85	A8B748	Serine/threonine-protein phosphatase (A8B748_GIAIC)	GL50803_15215		35.29856846079127	79.35	29.35	104.77271251455932	Oxidation of M(M234, M274)	Oxidation of M(2)			Single Protein		A8B748	9	11	10	8	10	8	12	14	100.0	Confident
86	A8BXV9	Ankyrin repeat protein 1 (A8BXV9_GIAIC)	GL50803_9030		36.611960080470006	71.82	56.36	220.87589909936986	Oxidation of M(M42, M47, M52, M73, M159, M226, M237, M255, M273, M310, M324)	Oxidation of M(11)			Single Protein		A8BXV9	23	29	29	23	29	23	31	43	100.0	Confident
87	A8B747	Serine/threonine-protein phosphatase (A8B747_GIAIC)	GL50803_15214		35.45175123575016	76.95	35.71	145.68408422019718	Oxidation of M(M62, M228)	Oxidation of M(2)			Single Protein		A8B747	15	20	19	14	19	14	19	29	100.0	Confident
88	A8BGV6	Phosphoglycerate kinase (A8BGV6_GIAIC)	GL50803_90872		43.5734465752939	68.46	27.14	62.48363755869294					Single Protein		A8BGV6	9	13	13	9	13	9	11	19	100.0	Confident
89	A8B6T4	AA_TRNA_LIGASE_II domain-containing protein (A8B6T4_GIAIC)	GL50803_22808		105.21659439160719	67.43	0.83	10.301749593971687					Single Protein		A8B6T4	1	11	11	1	11	1	1	14	86.27450980392157	Doubtful
90	A8BGW7	PPM-type phosphatase domain-containing protein (A8BGW7_GIAIC)	GL50803_14404		42.20258820033745	74.55	20.52	75.0836998653617	Oxidation of M(M75, M118, M382)	Oxidation of M(3)			Single Protein		A8BGW7	7	12	12	7	12	7	9	14	100.0	Confident
91	A8BH97	Uncharacterized protein (A8BH97_GIAIC)	GL50803_2107		35.64459639184023	70.43	8.23	38.584449317665296					Single Protein		A8BH97	2	7	7	2	7	2	3	8	100.0	Doubtful
92	A8BGX6	Aldo_ket_red domain-containing protein (A8BGX6_GIAIC)	GL50803_7260		35.442910385813946	77.0	11.5	49.418776406864175	Oxidation of M(M127, M140)	Oxidation of M(2)			Single Protein		A8BGX6	3	8	8	3	8	3	3	8	100.0	Confident
93	A8BED3	Serine/threonine-protein phosphatase (A8BED3_GIAIC)	GL50803_5010		39.75023064943104	83.72	9.3	65.7733480124789					Unrelated Proteins	A0A644FAU7	A0A644FAU7, A8BED3	4	8	8	4	8	4	5	9	100.0	Confident
94	A8BXY7	Thioredoxin domain-containing protein (A8BXY7_GIAIC)	GL50803_9045		37.62376820198428	49.38	4.63	28.99358390880691					Single Protein		A8BXY7	1	7	7	1	7	1	1	7	82.35294117647058	Doubtful
95	A8B787	MYG1 protein (A8B787_GIAIC)	GL50803_10858		40.83330385815179	74.52	6.93	66.21941809643019					Single Protein		A8B787	3	9	9	3	9	3	4	12	100.0	Confident
96	A8B6W4	Uncharacterized protein (A8B6W4_GIAIC)	GL50803_113133		95.3030591136757	62.96	23.54	110.93157779270189	Oxidation of M(M61, M67, M202, M284, M313)	Oxidation of M(5)			Single Protein		A8B6W4	23	36	36	23	36	23	51	88	100.0	Confident
97	A8B780	Nup54 domain-containing protein (A8B780_GIAIC)	GL50803_7240		36.175643621265664	58.18	4.24	39.060800543809314					Single Protein		A8B780	1	10	10	1	10	1	1	11	100.0	Doubtful
98	A8BGZ9	Uncharacterized protein (A8BGZ9_GIAIC)	GL50803_11380		52.08682753828292	53.96	3.65	40.824836697400706					Single Protein		A8BGZ9	2	3	3	2	3	2	2	3	100.0	Doubtful
99	A8B798	Lactamase_B domain-containing protein (A8B798_GIAIC)	GL50803_15305		24.781295244816786	62.05	13.39	82.7169893868903					Single Protein		A8B798	3	3	3	3	3	3	3	3	100.0	Confident
100	A8B6X3	Putative Translation initiation factor eIF-4A (A8B6X3_GIAIC)	GL50803_10255		43.245708894900396	85.93	39.39	125.9513107192107	Oxidation of M(M78, M164, M173, M186, M214, M300)	Oxidation of M(6)			Single Protein		A8B6X3	15	17	17	15	17	15	24	31	100.0	Confident
101	A8B6Y8	Uncharacterized protein (A8B6Y8_GIAIC)	GL50803_15296		36.903255677288435	52.15	4.91	37.66577195295898					Single Protein		A8B6Y8	1	2	2	1	2	1	1	2	100.0	Doubtful
102	A8B6Y7	Ribokinase (A8B6Y7_GIAIC)	GL50803_15297		36.60060871158592	73.26	10.17	51.906298709223115					Single Protein		A8B6Y7	3	8	8	3	8	3	4	9	100.0	Confident
103	A8B6Z3	WD-40 repeat protein family (A8B6Z3_GIAIC)	GL50803_10822		38.50608992843329	83.63	23.39	177.83519453831497	Oxidation of M(M69, M157)	Oxidation of M(2)			Single Protein		A8B6Z3	9	16	16	9	16	9	18	27	100.0	Confident
104	K2C1_HUMAN				65.84694613410919	65.16	52.88	750.9161744100794	Oxidation of M(M258, M261, M295, M468)	Oxidation of M(4)			Single Protein		K2C1_HUMAN	73	89	83	67	83	67	395	507	100.0	Confident
105	A8BHA7	Uncharacterized protein (A8BHA7_GIAIC)	GL50803_4259		30.412431864217506	40.99	35.69	717.3979326737115	Oxidation of M(M210)	Oxidation of M(1)			Single Protein		A8BHA7	22	27	27	22	27	22	47	61	100.0	Confident
106	A8BHB1	AAA domain-containing protein (A8BHB1_GIAIC)	GL50803_94322		123.37025114400194	77.64	2.24	13.114714379475872					Single Protein		A8BHB1	2	16	16	2	16	2	2	22	100.0	Confident
107	A8BHC4	Uncharacterized protein (A8BHC4_GIAIC)	GL50803_16067		35.18831122770403	73.83	15.26	61.24515764708777					Single Protein		A8BHC4	4	5	5	4	5	4	5	5	100.0	Confident
108	A8B7A7	Vacuolar protein sorting 2 (A8B7A7_GIAIC)	GL50803_29327		22.82760535000595	86.0	15.5	87.88680122357094	Oxidation of M(M128)	Oxidation of M(1)			Single Protein		A8B7A7	4	10	10	4	10	4	4	10	100.0	Confident
109	A8B7C0	Uncharacterized protein (A8B7C0_GIAIC)	GL50803_2014		41.58637632248569	29.71	5.31	92.37736770944684					Single Protein		A8B7C0	2	3	3	2	3	2	2	3	99.11816578483246	Confident
110	A8B7C8	Spindle pole protein, putative (A8B7C8_GIAIC)	GL50803_16729		40.5060170268653	84.14	4.25	52.73208073414257					Single Protein		A8B7C8	1	12	12	1	12	1	2	13	100.0	Doubtful
111	A0A644F2F6	Ankyrin repeat protein 1 (A0A644F2F6_GIAIC)	GL50803_0013766		89.83192881819066	86.45	6.47	11.224367972358996					Unrelated Proteins	A8BLN1	A0A644F2F6, A8BLN1	4	13	0	0	13	4	4	16	100.0	Confident
112	A8BGG4	Leucine-rich repeat protein 1 virus receptor protein (A8BGG4_GIAIC)	GL50803_5795		85.39477646269665	60.48	13.48	108.6297212480769	Oxidation of M(M561, M694)	Oxidation of M(2)			Single Protein		A8BGG4	14	24	24	14	24	14	25	36	100.0	Confident
113	A8BGI6	V-type proton ATPase subunit (A8BGI6_GIAIC)	GL50803_13000		39.48001285338401	47.29	6.27	72.42174178079668					Single Protein		A8BGI6	2	4	4	2	4	2	3	5	100.0	Confident
