	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
16	A8BEY6	AAA domain-containing protein (A8BEY6_GIAIC)	GL50803_86683		56.383285462840284	68.24	2.16	26.50788241711288					Single Protein		A8BEY6	1	3	3	1	3	1	1	3	100.0	Doubtful
17	A8BEY0	Serine/Threonine-protein kinase pkwA, putative (A8BEY0_GIAIC)	GL50803_9173		40.609120138108906	60.0	3.2	45.09508283708048					Single Protein		A8BEY0	1	7	7	1	7	1	1	7	100.0	Doubtful
18	A8B4Z7	Kinesin motor domain-containing protein (A8B4Z7_GIAIC)	GL50803_102101		114.54416678648164	64.13	6.24	25.826777105006514	Oxidation of M(M413)	Oxidation of M(1)			Single Protein		A8B4Z7	6	14	4	1	14	6	7	15	100.0	Confident
19	A8BED3	Serine/threonine-protein phosphatase (A8BED3_GIAIC)	GL50803_5010		39.75023064943104	83.72	7.27	76.06764645233334					Single Protein		A8BED3	4	11	11	4	11	4	4	13	100.0	Confident
20	A8B4D0	Kinase, NEK (A8B4D0_GIAIC)	GL50803_94927		115.03971515501016	80.47	1.13	22.570021519655434					Single Protein		A8B4D0	1	9	9	1	9	1	2	11	100.0	Doubtful
23	A8BVL0	Protein kinase domain-containing protein (A8BVL0_GIAIC)	GL50803_92498		102.22501038636058	77.95	1.11	13.75317836222017					Single Protein		A8BVL0	1	12	11	1	12	1	1	12	89.1891891891892	Doubtful
25	A0A644EZ44	Uncharacterized protein (A0A644EZ44_GIAIC)	GL50803_0013651		76.32174804166033	83.41	1.48	17.881304568889735					Related Proteins	A8BKT1	A0A644EZ44, A8BKT1	1	5	5	1	5	1	1	5	89.1891891891892	Doubtful
26	A8BEM5	Dynein heavy chain (A8BEM5_GIAIC)	GL50803_40496		553.0755313551083	70.33	0.23	2.6274061727268343					Single Protein		A8BEM5	1	25	25	1	25	1	1	26	100.0	Doubtful
28	A8BW25	Uncharacterized protein (A8BW25_GIAIC)	GL50803_17627		143.74035056949074	61.33	0.84	10.915010407046482					Single Protein		A8BW25	1	6	6	1	6	1	2	6	100.0	Doubtful
29	A8BWU7	Uncharacterized protein (A8BWU7_GIAIC)	GL50803_24279		89.4762846453856	76.67	1.13	16.548049403665498					Single Protein		A8BWU7	1	1	1	1	1	1	1	1	100.0	Doubtful
30	A8BWV7	Translation initiation factor (A8BWV7_GIAIC)	GL50803_7652		42.2007262296642	41.25	3.66	43.3673018854682	Oxidation of M(M176)	Oxidation of M(1)			Single Protein		A8BWV7	1	8	8	1	8	1	1	9	89.1891891891892	Doubtful
31	A8BG76	Proteasome endopeptidase complex (A8BG76_GIAIC)	GL50803_7962		28.21736467478629	82.35	17.25	81.3774664792021	Oxidation of M(M164)	Oxidation of M(1)			Single Protein		A8BG76	3	7	7	3	7	3	3	7	100.0	Confident
32	A8BFW5	Uncharacterized protein (A8BFW5_GIAIC)	GL50803_16827		36.271814632233735	100.0	4.32	69.86954192658766					Single Protein		A8BFW5	1	9	9	1	9	1	2	10	100.0	Doubtful
34	A8B666	Uncharacterized protein (A8B666_GIAIC)	GL50803_14704		110.06845188476547	41.51	1.81	20.768561086435234					Single Protein		A8B666	1	4	4	1	4	1	1	4	100.0	Doubtful
36	A8BFX3	Kinase, NEK (A8BFX3_GIAIC)	GL50803_16824		90.51811200436039	77.76	6.56	51.43213664756961	Oxidation of M(M615, M651, M748)	Oxidation of M(3)			Single Protein		A8BFX3	5	20	16	4	19	5	8	24	100.0	Confident
37	A8BG90	ATP-dependent RNA helicase HAS1, putative (A8BG90_GIAIC)	GL50803_16887		60.63717853920524	79.89	2.01	20.692624848459236					Single Protein		A8BG90	1	7	7	1	7	1	1	7	100.0	Doubtful
38	A8B686	Uncharacterized protein (A8B686_GIAIC)	GL50803_16353		83.60054652354407	57.62	1.32	41.84423583034086					Single Protein		A8B686	1	7	7	1	7	1	2	9	100.0	Doubtful
40	A8B5Z8	DUF4206 domain-containing protein (A8B5Z8_GIAIC)	GL50803_17119		83.79162223789939	62.71	1.17	37.17197304468703					Single Protein		A8B5Z8	1	6	6	1	6	1	2	7	100.0	Doubtful
42	A8BXB8	ANK_REP_REGION domain-containing protein (A8BXB8_GIAIC)	GL50803_7414		40.59965136219539	78.65	7.3	61.183058335714605	Oxidation of M(M14)	Oxidation of M(1)			Single Protein		A8BXB8	2	6	6	2	6	2	3	7	100.0	Confident
43	A8BXC9	Methionine adenosyltransferase (A8BXC9_GIAIC)	GL50803_5659		48.81579565312534	80.05	2.06	28.43936128670151					Single Protein		A8BXC9	1	10	10	1	10	1	3	10	100.0	Doubtful
45	A0A644EYZ9	Outer-arm dynein gamma (Fragment) (A0A644EYZ9_GIAIC)	GL50803_0016804B		302.06515248318806	68.2	0.0	0.0					Unrelated Proteins	A8BL65	A0A644EYZ9, A8BL65	0	13	13	0	13	0	2	16	100.0	Doubtful
47	A8BFE9	Uncharacterized protein (A8BFE9_GIAIC)	GL50803_11354		30.078939608933098	50.89	4.27	56.59432896053601					Single Protein		A8BFE9	1	4	4	1	4	1	1	4	100.0	Doubtful
50	A8BFG8	J domain-containing protein (A8BFG8_GIAIC)	GL50803_17483		37.22904256065387	89.97	17.33	98.78514627120587	Oxidation of M(M76, M290)	Oxidation of M(2)			Single Protein		A8BFG8	4	11	11	4	11	4	7	14	100.0	Confident
52	A8BFH7	UN_NPL4 domain-containing protein (A8BFH7_GIAIC)	GL50803_94658		59.132854063398334	78.37	3.23	24.341646864746668					Single Protein		A8BFH7	1	9	9	1	9	1	1	11	89.1891891891892	Doubtful
55	A8B5J7	IPPc domain-containing protein (A8B5J7_GIAIC)	GL50803_9077		124.01098432097068	58.08	0.81	15.193108445781478	Oxidation of M(M94)	Oxidation of M(1)			Single Protein		A8B5J7	1	4	4	1	4	1	2	4	94.5945945945946	Doubtful
56	A8BWM5	6-phosphogluconolactonase/Glucose-6-phosphate 1-dehydrogenase (A8BWM5_GIAIC)	GL50803_8682		83.02269059153738	72.78	1.48	27.29630014173763					Single Protein		A8BWM5	2	11	11	2	11	2	3	11	100.0	Doubtful
57	A8B5K6	ANK_REP_REGION domain-containing protein (A8B5K6_GIAIC)	GL50803_14859		102.64555916182267	71.89	6.27	48.014999161178274					Single Protein		A8B5K6	5	16	16	5	16	5	7	23	100.0	Confident
58	A8BX05	HZGJ (A8BX05_GIAIC)	GL50803_3531		41.11252759516956	64.1	2.39	32.999608723344615	Oxidation of M(M40)	Oxidation of M(1)			Single Protein		A8BX05	1	4	4	1	4	1	1	4	100.0	Doubtful
59	A8BWP7	Alanine--tRNA ligase (A8BWP7_GIAIC)	GL50803_96460		108.37042415713395	63.98	2.37	36.65435813506218					Single Protein		A8BWP7	2	6	6	2	6	2	5	7	100.0	Confident
61	A8B5M1	Oxidored_FMN domain-containing protein (A8B5M1_GIAIC)	GL50803_9719		46.973788210416345	70.63	0.0	0.0					Single Protein		A8B5M1	0	5	5	0	5	0	3	5	94.5945945945946	Doubtful
62	A8BX22	Stress-induced-phosphoprotein 1 (A8BX22_GIAIC)	GL50803_27310		65.31999162773867	91.65	3.75	28.923847850359113					Single Protein		A8BX22	2	7	7	2	7	2	2	8	100.0	Confident
64	A8B614	Protein kinase domain-containing protein (A8B614_GIAIC)	GL50803_137719		52.224058631308175	69.1	6.44	55.93625536797163	Oxidation of M(M1)	Oxidation of M(1)			Single Protein		A8B614	3	5	4	2	5	3	3	6	100.0	Doubtful
65	A8BH61	Ribosomal_L19e domain-containing protein (A8BH61_GIAIC)	GL50803_16431		23.122787141833243	100.0	29.08	160.73559415662436	Oxidation of M(M145)	Oxidation of M(1)			Single Protein		A8BH61	6	18	18	6	18	6	7	21	100.0	Confident
68	A8B747	Serine/threonine-protein phosphatase (A8B747_GIAIC)	GL50803_15214		35.45175123575016	76.95	24.68	136.499473909038	Oxidation of M(M62, M228)	Oxidation of M(2)			Single Protein		A8B747	11	15	14	11	14	11	14	17	100.0	Confident
71	A8BXX1	eIF2B_5 domain-containing protein (A8BXX1_GIAIC)	GL50803_91398		37.14560097413409	93.03	3.33	34.29959330941576					Single Protein		A8BXX1	1	6	6	1	6	1	1	6	100.0	Doubtful
72	A8BH97	Uncharacterized protein (A8BH97_GIAIC)	GL50803_2107		35.64459639184023	70.43	3.05	34.50873717105854					Single Protein		A8BH97	1	4	4	1	4	1	1	5	89.1891891891892	Doubtful
73	A8BGX6	Aldo_ket_red domain-containing protein (A8BGX6_GIAIC)	GL50803_7260		35.442910385813946	77.0	3.83	36.162510517914384	Oxidation of M(M140)	Oxidation of M(1)			Single Protein		A8BGX6	1	6	6	1	6	1	2	6	100.0	Doubtful
76	A8B780	Nup54 domain-containing protein (A8B780_GIAIC)	GL50803_7240		36.175643621265664	58.18	3.33	52.40215644494075					Single Protein		A8B780	1	2	2	1	2	1	1	3	100.0	Doubtful
77	A8BGZ9	Uncharacterized protein (A8BGZ9_GIAIC)	GL50803_11380		52.08682753828292	53.96	3.65	36.512470297120004					Single Protein		A8BGZ9	1	4	4	1	4	1	2	4	100.0	Doubtful
83	A8BHB1	AAA domain-containing protein (A8BHB1_GIAIC)	GL50803_94322		123.37025114400194	77.64	0.72	11.729394603219898					Single Protein		A8BHB1	1	9	9	1	9	1	3	9	100.0	Doubtful
84	A8BHC4	Uncharacterized protein (A8BHC4_GIAIC)	GL50803_16067		35.18831122770403	73.83	15.26	82.16365993109176					Single Protein		A8BHC4	4	10	10	4	10	4	4	10	100.0	Confident
85	A8B7A7	Vacuolar protein sorting 2 (A8B7A7_GIAIC)	GL50803_29327		22.82760535000595	86.0	5.5	56.59432896053601					Single Protein		A8B7A7	1	7	7	1	7	1	2	7	100.0	Doubtful
86	A0A644F2F6	Ankyrin repeat protein 1 (A0A644F2F6_GIAIC)	GL50803_0013766		89.83192881819066	86.45	2.93	21.6836509427341					Unrelated Proteins	A8BLN1	A0A644F2F6, A8BLN1	2	12	12	2	12	2	3	12	100.0	Confident
87	A8BGE6	Uncharacterized protein (A8BGE6_GIAIC)	GL50803_16604		376.15243589204835	65.15	0.36	0.0					Single Protein		A8BGE6	1	18	18	1	18	1	0	23	94.5945945945946	Doubtful
89	A8BGI6	V-type proton ATPase subunit (A8BGI6_GIAIC)	GL50803_13000		39.48001285338401	47.29	6.27	97.157646284182					Single Protein		A8BGI6	2	4	4	2	4	2	3	7	100.0	Confident
91	A8B6K6	Uncharacterized protein (A8B6K6_GIAIC)	GL50803_26679		11.010906441574978	100.0	17.89	0.0	Oxidation of M(M14)	Oxidation of M(1)			Single Protein		A8B6K6	1	4	4	1	4	1	0	8	94.5945945945946	Doubtful
92	A8BGL6	Kinase, SCY1 (A8BGL6_GIAIC)	GL50803_8805		103.25744101999675	47.86	5.88	68.11408421761683	Oxidation of M(M1, M383, M389, M405, M620)	Oxidation of M(5)			Single Protein		A8BGL6	5	15	15	5	15	5	9	19	100.0	Confident
94	A8B6L5	Uncharacterized protein (A8B6L5_GIAIC)	GL50803_8049		55.236555214818395	46.39	2.21	39.438556766924044					Single Protein		A8B6L5	1	4	4	1	4	1	1	4	100.0	Doubtful
95	A8BGM3	Uncharacterized protein (A8BGM3_GIAIC)	GL50803_8799		35.91331317448176	88.18	3.83	41.01038330473624					Single Protein		A8BGM3	1	5	5	1	5	1	2	5	100.0	Doubtful
96	A8BXP9	Kinase, NEK (A8BXP9_GIAIC)	GL50803_8445		66.94059313326336	79.23	3.18	47.39893547783584					Single Protein		A8BXP9	2	8	8	2	8	2	3	13	100.0	Confident
97	A8BGN5	Kinase, NEK (A8BGN5_GIAIC)	GL50803_15953		124.72159076653796	78.78	1.07	10.925546131377608	Oxidation of M(M1068)	Oxidation of M(1)			Single Protein		A8BGN5	1	9	9	1	9	1	1	9	100.0	Doubtful
99	A8BY35	Uncharacterized protein (A8BY35_GIAIC)	GL50803_3538		30.0124712527165	38.03	12.32	108.83524800103078	Oxidation of M(M165)	Oxidation of M(1)			Single Protein		A8BY35	2	5	5	2	5	2	2	5	100.0	Doubtful
101	A8BH18	Kinase, NEK (A8BH18_GIAIC)	GL50803_11390		85.13005630356861	43.11	9.78	83.11952727153552	Oxidation of M(M349, M620, M740)	Oxidation of M(3)			Single Protein		A8BH18	7	16	16	7	16	7	10	21	100.0	Confident
102	A8BH31	CCT-beta (A8BH31_GIAIC)	GL50803_11397		56.568445028452786	95.81	3.81	32.33961654887772	Oxidation of M(M432)	Oxidation of M(1)			Single Protein		A8BH31	2	10	10	2	10	2	3	15	100.0	Doubtful
103	A8B6P4	Kinase, NEK (A8B6P4_GIAIC)	GL50803_87677		133.1304772709322	74.92	0.75	10.461058957585214					Single Protein		A8B6P4	1	8	7	1	8	1	2	8	100.0	Doubtful
104	A0A644F1R1	Vesicle-fusing ATPase (A0A644F1R1_GIAIC)	GL50803_00112681		88.19799472771761	70.7	3.09	7.968991533101589	Oxidation of M(M481, M800)	Oxidation of M(2)			Related Proteins	A0A644F2H1, A8BXH2, A8BZZ4	A0A644F1R1, A0A644F2H1, A8BXH2, A8BZZ4	3	5	0	0	5	3	3	5	100.0	Confident
105	A8B724	Uncharacterized protein (A8B724_GIAIC)	GL50803_90434		159.4717821340779	66.99	2.04	19.160899309507418					Single Protein		A8B724	3	9	9	3	9	3	4	9	100.0	Confident
106	A8BY54	Leucyl-tRNA synthetase (A8BY54_GIAIC)	GL50803_8621		132.2819000063919	67.18	11.34	49.91465126871511	Oxidation of M(M25, M738)	Oxidation of M(2)			Single Protein		A8BY54	14	23	23	14	23	14	18	27	100.0	Confident
107	A8BH36	Kinesin motor domain-containing protein (A8BH36_GIAIC)	GL50803_16425		116.40341295474838	83.4	0.0	0.0					Single Protein		A8BH36	0	9	9	0	9	0	3	9	100.0	Doubtful
108	A8BGT4	Uncharacterized protein (A8BGT4_GIAIC)	GL50803_11497		102.48828065142222	48.56	1.92	28.973205952492837					Single Protein		A8BGT4	2	6	6	2	6	2	3	6	100.0	Confident
109	A8B731	Uncharacterized protein (A8B731_GIAIC)	GL50803_13467		35.02539170623844	90.0	9.35	74.37725430894815	Oxidation of M(M239)	Oxidation of M(1)			Single Protein		A8B731	3	8	8	3	8	3	3	9	100.0	Confident
112	A8BYZ0	UVR domain-containing protein (A8BYZ0_GIAIC)	GL50803_7444		41.115943770670945	100.0	4.09	30.84159616377984					Single Protein		A8BYZ0	1	3	3	1	3	1	1	3	100.0	Doubtful
113	A8B7X7	OTU domain-containing protein (A8B7X7_GIAIC)	GL50803_88556		36.482471004060876	70.12	6.71	73.81868994852522	Oxidation of M(M159)	Oxidation of M(1)			Single Protein		A8B7X7	2	6	6	2	6	2	2	7	100.0	Confident
114	A8B7Z1	Protein kinase domain-containing protein (A8B7Z1_GIAIC)	GL50803_10893		35.7900447002848	66.36	3.74	39.165625578225615					Single Protein		A8B7Z1	1	4	4	1	4	1	1	4	100.0	Doubtful
117	A8BIB3	Kinase, NEK (A8BIB3_GIAIC)	GL50803_16460		134.04625908418905	71.24	0.91	10.978531321151506					Single Protein		A8BIB3	1	8	8	1	8	1	1	10	100.0	Doubtful
118	A8BIB1	Uncharacterized protein (A8BIB1_GIAIC)	GL50803_92602		342.1159943527813	62.79	0.42	4.584392787406724					Single Protein		A8BIB1	1	16	16	1	16	1	1	18	89.1891891891892	Doubtful
119	A8BZE2	ANK_REP_REGION domain-containing protein (A8BZE2_GIAIC)	GL50803_17046		74.53178273484143	60.0	1.91	21.117286925573136					Single Protein		A8BZE2	1	3	3	1	3	1	1	4	100.0	Doubtful
120	A8BIF2	Triosephosphate isomerase (A8BIF2_GIAIC)	GL50803_93938		27.885310727574822	54.86	13.23	91.81970775308203	Oxidation of M(M141)	Oxidation of M(1)			Single Protein		A8BIF2	3	9	9	3	9	3	3	10	100.0	Confident
123	A0A644F9P4	WD40 repeat protein (A0A644F9P4_GIAIC)	GL50803_0017068		36.996375131879056	70.69	11.78	44.34028622264218	Oxidation of M(M195)	Oxidation of M(1)			Unrelated Proteins	A8B880	A0A644F9P4, A8B880	3	4	0	0	4	3	3	4	100.0	Confident
124	A8B7M0	Alpha-3 giardin (A8B7M0_GIAIC)	GL50803_11683		33.29892900205321	90.54	9.12	92.41191102790226	Oxidation of M(M58)	Oxidation of M(1)			Single Protein		A8B7M0	4	8	8	4	8	4	6	10	100.0	Confident
130	A8BI14	Alpha-4 giardin (A8BI14_GIAIC)	GL50803_7799		33.591833059788485	73.65	4.39	42.71270110229133					Single Protein		A8BI14	1	4	4	1	4	1	1	4	100.0	Doubtful
132	A8B827	DNA-directed RNA polymerase subunit beta (A8B827_GIAIC)	GL50803_29436		137.92005987116585	61.86	2.59	5.926107744558745					Single Protein		A8B827	2	7	7	2	7	2	1	16	94.5945945945946	Doubtful
135	A8BHU2	Uncharacterized protein (A8BHU2_GIAIC)	GL50803_16902		109.22949385888762	60.46	3.72	26.775811551221334					Single Protein		A8BHU2	3	10	10	3	10	3	3	11	100.0	Confident
136	A8B7S7	Protein kinase domain-containing protein (A8B7S7_GIAIC)	GL50803_9196		33.853544780196636	81.14	3.03	43.037512517517875	Oxidation of M(M1)	Oxidation of M(1)			Single Protein		A8B7S7	1	8	8	1	8	1	1	11	100.0	Doubtful
138	A8B843	Protein kinase domain-containing protein (A8B843_GIAIC)	GL50803_11178		37.9423347304175	47.16	6.87	63.35186077671941					Single Protein		A8B843	2	8	8	2	8	2	2	8	100.0	Confident
139	A8B852	Pyruvate-flavodoxin oxidoreductase (A8B852_GIAIC)	GL50803_17063		131.71844001829652	57.88	10.18	42.089017634008506	Oxidation of M(M100, M787, M1192)	Oxidation of M(3)			Single Protein		A8B852	12	28	28	12	28	12	18	34	100.0	Confident
140	A8BZ84	Ornithine cyclodeaminase (A8BZ84_GIAIC)	GL50803_2452		33.94940158074527	75.83	9.06	56.783607652711716					Single Protein		A8BZ84	2	4	4	2	4	2	3	4	100.0	Doubtful
142	A8BRL1	Vacuolar ATP synthase subunit D (A8BRL1_GIAIC)	GL50803_3678		29.461169742741546	78.73	7.46	71.63839108928609					Single Protein		A8BRL1	2	4	4	2	4	2	2	5	100.0	Doubtful
143	A8BAK9	Protein phosphatase 2A B' regulatory subunit Wdb1 (A8BAK9_GIAIC)	GL50803_16443		93.14911812410244	71.99	0.0	0.0					Single Protein		A8BAK9	0	7	7	0	7	0	2	7	91.89189189189189	Doubtful
144	A8BAM2	Ubiquitin-like domain-containing protein (A8BAM2_GIAIC)	GL50803_115337		36.46831051877801	54.1	12.46	148.3746452148884					Single Protein		A8BAM2	4	8	8	4	8	4	5	10	100.0	Confident
145	A8BRP6	Uncharacterized protein (A8BRP6_GIAIC)	GL50803_7188		115.54828929788977	50.41	1.36	14.75732176285163					Single Protein		A8BRP6	1	9	9	1	9	1	2	9	100.0	Doubtful
147	A8BRQ2	Glutamate synthase (A8BRQ2_GIAIC)	GL50803_7195		98.25843861994511	71.32	4.4	25.745972645405132					Single Protein		A8BRQ2	3	10	10	3	10	3	4	11	100.0	Confident
148	D3KGW1	Uncharacterized protein (D3KGW1_GIAIC)	GL50803_33663		116.64555304861423	77.17	0.96	12.590506999006896					Single Protein		D3KGW1	1	8	8	1	8	1	1	8	100.0	Doubtful
149	A8BAR6	Adaptin_N domain-containing protein (A8BAR6_GIAIC)	GL50803_17304		86.97960873461508	49.68	13.54	267.9811393699645	Oxidation of M(M4, M360, M363, M637, M640)	Oxidation of M(5)			Single Protein		A8BAR6	14	23	23	14	23	14	39	74	100.0	Confident
150	D3KHE2	Endo/exonuclease/phosphatase domain-containing protein (D3KHE2_GIAIC)	GL50803_10551		40.51740027408532	63.46	5.49	73.49912852017664					Single Protein		D3KHE2	2	5	5	2	5	2	2	5	100.0	Confident
151	A8BAT6	Cation-transporting ATPase 2, putative (A8BAT6_GIAIC)	GL50803_92246		151.84109233216353	61.86	0.88	9.998998049564666	Oxidation of M(M349)	Oxidation of M(1)			Single Protein		A8BAT6	1	8	8	1	8	1	2	8	100.0	Doubtful
152	D3KHE0	Uncharacterized protein (D3KHE0_GIAIC)	GL50803_3420		48.9690959860813	68.34	2.51	34.93477096329383					Single Protein		D3KHE0	1	3	3	1	3	1	1	3	89.1891891891892	Doubtful
154	A8BS62	GTP-binding nuclear protein (A8BS62_GIAIC)	GL50803_15869		25.404995853829522	87.61	29.2	114.35727238338396					Single Protein		A8BS62	5	8	8	5	8	5	5	14	100.0	Confident
155	A0A644F4C2	Uncharacterized protein (A0A644F4C2_GIAIC)	GL50803_00103365		230.61150984516914	63.44	0.0	0.0					Related Proteins	A8BAL4	A0A644F4C2, A8BAL4	0	10	0	0	10	0	0	13	94.5945945945946	Doubtful
156	A8BAU7	CCT-theta (A8BAU7_GIAIC)	GL50803_13500		60.60775415772517	62.88	6.93	39.451053141058054					Single Protein		A8BAU7	3	5	5	3	5	3	4	5	100.0	Confident
157	A8BRV7	Protein kinase domain-containing protein (A8BRV7_GIAIC)	GL50803_13921		43.08062494620174	70.47	5.44	52.40215644494075					Single Protein		A8BRV7	2	8	8	2	8	2	3	9	100.0	Confident
160	A8B8E9	Major facilitator superfamily transporter (A8B8E9_GIAIC)	GL50803_112063		72.47784155060408	45.73	1.83	15.655416033343293					Unrelated Proteins	A8B9A6	A8B8E9, A8B9A6	1	3	0	0	3	1	2	4	100.0	Doubtful
161	A8BB88	High cysteine membrane protein (A8BB88_GIAIC)	GL50803_16454		77.38396945123938	41.94	2.22	26.32294370257489	Oxidation of M(M1)	Oxidation of M(1)			Single Protein		A8BB88	1	4	4	1	4	1	1	4	100.0	Doubtful
163	A0A644F2E6	IFRD domain-containing protein (A0A644F2E6_GIAIC)	GL50803_003098		41.76569168555587	57.07	2.93	35.151757118345344					Related Proteins	A8BLD1	A0A644F2E6, A8BLD1	1	5	5	1	5	1	1	5	100.0	Doubtful
164	A8BRX1	AstB/chuR-related protein (A8BRX1_GIAIC)	GL50803_16519		42.19735737234661	62.73	2.41	33.587138848982796					Single Protein		A8BRX1	1	3	3	1	3	1	1	3	100.0	Doubtful
166	A8BA81	Uncharacterized protein (A8BA81_GIAIC)	GL50803_40067		54.92699243115397	66.74	2.67	30.103366468370215	Oxidation of M(M1)	Oxidation of M(1)			Single Protein		A8BA81	1	4	4	1	4	1	1	4	91.89189189189189	Doubtful
169	A8BA94	Uncharacterized protein (A8BA94_GIAIC)	GL50803_17577		120.14889386814986	55.11	0.93	14.912866656267724					Single Protein		A8BA94	1	8	8	1	8	1	1	8	100.0	Doubtful
170	A0A644EY11	Ankyrin repeat protein 3 (A0A644EY11_GIAIC)	GL50803_0061564		205.14148800148797	82.91	4.64	8.095616673460304					Single Protein		A0A644EY11	5	16	15	5	15	5	5	21	100.0	Confident
172	A8BRH9	Protein kinase domain-containing protein (A8BRH9_GIAIC)	GL50803_16235		46.0680385965422	92.8	11.41	58.51357419410257					Single Protein		A8BRH9	4	11	11	4	11	4	5	11	100.0	Confident
174	A8BAF3	Peptidylprolyl isomerase (A8BAF3_GIAIC)	GL50803_3643		37.56052376792046	77.51	7.1	66.97553723140355	Oxidation of M(M290)	Oxidation of M(1)			Single Protein		A8BAF3	2	9	9	2	9	2	3	10	100.0	Confident
176	A8BSL8	Kinase, NEK (A8BSL8_GIAIC)	GL50803_114535		115.93345746835946	83.59	1.06	11.705135255540023					Single Protein		A8BSL8	1	16	16	1	16	1	4	16	100.0	Doubtful
178	A8BBN0	Nop domain-containing protein (A8BBN0_GIAIC)	GL50803_5359		69.00883694655084	88.25	2.12	36.9294153086695					Single Protein		A8BBN0	1	6	6	1	6	1	2	7	100.0	Doubtful
180	A8BBP6	UBA_e1_C domain-containing protein (A8BBP6_GIAIC)	GL50803_10661		121.3449284220878	64.19	2.2	19.788226909278325	Oxidation of M(M567)	Oxidation of M(1)			Single Protein		A8BBP6	2	7	7	2	7	2	2	13	100.0	Confident
181	A8BBP3	Ribosomal protein S15 (A8BBP3_GIAIC)	GL50803_15260		16.681235011105528	100.0	5.52	78.06114339384277					Single Protein		A8BBP3	1	2	2	1	2	1	1	2	91.89189189189189	Doubtful
182	A0A644F6T1	ANK_REP_REGION domain-containing protein (A0A644F6T1_GIAIC)	GL50803_0017552		44.44808786998806	67.9	2.47	30.264347037719787					Unrelated Proteins	A8BPT3	A0A644F6T1, A8BPT3	1	6	6	1	6	1	1	6	100.0	Doubtful
183	A8BSS7	ANK_REP_REGION domain-containing protein (A8BSS7_GIAIC)	GL50803_21505		95.18177514866848	91.5	2.64	17.327004656880526					Single Protein		A8BSS7	2	16	13	1	15	2	3	18	100.0	Confident
184	A8BST9	PlsC domain-containing protein (A8BST9_GIAIC)	GL50803_15987		38.625200731540005	81.95	6.21	56.59432896053601	Oxidation of M(M1)	Oxidation of M(1)			Single Protein		A8BST9	2	6	6	2	6	2	2	6	89.1891891891892	Doubtful
