A8BEQ2	Uncharacterized protein (A8BEQ2_GIAIC)	GL50803_101278
A8BE31	Uncharacterized protein (A8BE31_GIAIC)	GL50803_16648
A8BV45	Cation_ATPase_N domain-containing protein (A8BV45_GIAIC)	GL50803_96670
A8B433	Farnesyl diphosphate synthase (A8B433_GIAIC)	GL50803_6633
A8B3S4	BRO1 domain-containing protein (A8B3S4_GIAIC)	GL50803_103709
A8B3U7	Nucleotide-binding protein 1 (A8B3U7_GIAIC)	GL50803_14604
A8B467	Uncharacterized protein (A8B467_GIAIC)	GL50803_6464
A8B3A0	Ankyrin repeat protein 1 (A8B3A0_GIAIC)	GL50803_24842
A8BUI2	Uncharacterized protein (A8BUI2_GIAIC)	GL50803_4266
D3KI75	Uncharacterized protein (D3KI75_GIAIC)	GL50803_87577
A8BNI1	M16C_associated domain-containing protein (A8BNI1_GIAIC)	GL50803_9508
A8BQ17	PCI domain-containing protein (A8BQ17_GIAIC)	GL50803_16659
A8BP53	Protein kinase domain-containing protein (A8BP53_GIAIC)	GL50803_10609
A8BPD9	Uncharacterized protein (A8BPD9_GIAIC)	GL50803_10882
A8BQI1	Phosphatidylinositol transfer protein alpha isoform (A8BQI1_GIAIC)	GL50803_4197
A8BQQ3	ANK_REP_REGION domain-containing protein (A8BQQ3_GIAIC)	GL50803_8174
A8BA54	Uncharacterized protein (A8BA54_GIAIC)	GL50803_16504
A8BR71	WD_REPEATS_REGION domain-containing protein (A8BR71_GIAIC)	GL50803_2562
A8BPW2	Protein kinase domain-containing protein (A8BPW2_GIAIC)	GL50803_12223
A8B8J3	Protein kinase domain-containing protein (A8B8J3_GIAIC)	GL50803_15397
A8BJ08	Ubiquitin-like domain-containing protein (A8BJ08_GIAIC)	GL50803_7110
A8B918	Ankyrin repeat protein 1 (A8B918_GIAIC)	GL50803_14434
A8BJ72	RING-type domain-containing protein (A8BJ72_GIAIC)	GL50803_17109
A8BK58	Glucose regulated protein 94 / Heat shock protein 90 (A8BK58_GIAIC)	GL50803_15247
A8BLA6	DM10 domain-containing protein (A8BLA6_GIAIC)	GL50803_14135
E2RTP3	Fe-ADH domain-containing protein (E2RTP3_GIAIC)	GL50803_3593
E2RTR2	Alpha-1,4 glucan phosphorylase (E2RTR2_GIAIC)	GL50803_6226
E2RU95	PNP_UDP_1 domain-containing protein (E2RU95_GIAIC)	GL50803_9779
E2RU41	Isoleucyl-tRNA synthetase (E2RU41_GIAIC)	GL50803_104173
E2RTV5	Disc-associated protein (E2RTV5_GIAIC)	GL50803_16424
